# INVENTARIO_VERIFICADO=142 ARCHIVOS_A_EJECUTAR=127 NODE=v22.22.2 FECHA_UTC=2026-09-20T09:27:59Z
ruta	clasificacion	codigo_salida	duracion_ms	ultima_marca	resultado_final
tests/pm20/p01-checkpoint-inventario-contract.mjs	active_contract	0	163ms	PM20 P01 (checkpoint e inventario) — refleja el código y catálogo reales: contrato OK	PASS
tests/pm20/p02-comportamiento-proveedor-contract.mjs	active_contract	0	84ms	PM20 P02 — LA-016 corregida: validación real de email/días en proveedores: contrato OK	PASS
tests/pm20/p02-la014-fecha-esperada-pedido-contract.mjs	active_contract	0	92ms	PM20 P02 — LA-014 revalidado: fecha esperada persiste exacta en alta, edición y recarga: contrato OK	PASS
tests/pm20/p02-wiring-proveedores-contract.mjs	active_contract	0	97ms	PM20 P02 (wiring Proveedores) — UI conectada al contrato real: contrato OK	PASS
tests/pm20/p03-dashboard-informes-resultados-contract.mjs	active_contract	0	93ms	PM20 P03 — Dashboard/informes/Resultados: fórmulas y filtros reproducibles (verificado, no supuesto): contrato OK	PASS
tests/pm20/p04-tesoreria-estacionalidad-saldo-mapa-contract.mjs	active_contract	0	84ms	PM20 P04 — Tesorería/Estacionalidad/Saldo/Mapa: métricas definidas y comprobadas: contrato OK	PASS
tests/pm20/p05-buscador-etiquetas-auditoria-contract.mjs	active_contract	0	86ms	PM20 P05 — Buscador/Etiquetas/Auditoría: alcance verificado, sin fuga de contexto: contrato OK	PASS
tests/pm20/p06-errores-sistema-aislamiento-contract.mjs	active_contract	0	83ms	PM20 P06 — errores_sistema aislado por empresa (defecto real corregido en QA): contrato OK	PASS
tests/pm20/p07-revalidacion-acumulada-contract.mjs	active_contract	0	81ms	PM20 P07 — revalidación acumulada de módulos con cobertura histórica fuerte: contrato OK	PASS
tests/pm20/p08-restauracion-qa-contract.mjs	active_contract	0	101ms	PM20 P08 — restauración QA ensayada de punta a punta (comportamiento real, no solo código leído): contrato OK	PASS
tests/pm26/defecto-l-context-hotfix.test.mjs	active_contract	0	62ms	PM26_DEFECTO_L_CONTEXT_HOTFIX=PASS	PASS
tests/pm27-mobile-logout-modal-fix.mjs	active_contract	0	52ms	PM27 mobile logout modal fix: PASS	PASS
tests/pm27-restore-c24-operational-rpcs.mjs	active_contract	0	49ms	PM27_RPC_RESTORE_STATIC=PASS	PASS
tests/pm29/p01-locales-desactivar-propietario-contract.mjs	active_contract	0	88ms	PM29_P01_LOCALES_DESACTIVAR_PROPIETARIO=PASS	PASS
tests/pm29/p02-empresas-desactivar-propietario-contract.mjs	active_contract	0	92ms	PM29_P02_EMPRESAS_DESACTIVAR_PROPIETARIO=PASS	PASS
tests/pm29/p03-adopcion-contexto-contract.mjs	active_contract	0	83ms	PM29_P03_ADOPCION_CONTEXTO=PASS	PASS
tests/pm31/p01-bloqueo-programa-no-cargado-contract.mjs	active_contract	0	10457ms	PM31_P01_BLOQUEO_PROGRAMA_NO_CARGADO=PASS	PASS
tests/pm32/p01-selector-empresa-y-local-contract.mjs	active_contract	0	98ms	PM32_P01_SELECTOR_EMPRESA_Y_LOCAL=PASS	PASS
tests/pm33/p03-frontend-multilocal-contract.mjs	active_contract	0	92ms	PM33_P03_FRONTEND_MULTILOCAL_OK=1	PASS
tests/post-reset-schema-contract.mjs	active_contract	0	79ms	PASS post-reset schema contract: narrow repair + active stock dependency + least privilege	PASS
tests/ui-context-bridge.mjs	active_contract	0	53ms	UI_CONTEXT_BRIDGE_PASS	PASS
tests/netlify-publish-boundary.mjs	active_contract	0	152ms	NETLIFY_PUBLISH_BOUNDARY_PASS entries=43	PASS
